#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_3	5306069	75	Y	N	1	*	3
contig_8	214836	117	Y	N	1	*	8
contig_4	125021	188	Y	Y	2	*	4
contig_9	79498	122	Y	N	1	*	9
contig_7	41154	67	Y	N	1	*	7
contig_1	38533	824	N	Y	10	*	1
contig_6	35481	112	N	N	1	*	*,6,*
contig_2	3202	313	N	Y	4	*	2
