contig	subject	pct_id	aln_len	mismatches	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	subject_title	pct_cov_of_ref	db
contig_3	card~~~oqxB~~~EU370913.1:47850-51003~~~diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline	100.0	3153	0	0	2597799	2600951	3153	1	0.0	5823	5306069	3153	card~~~oqxB~~~EU370913.1:47850-51003~~~diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline RND efflux pump conferring resistance to fluoroquinolone.	100.0	card
contig_3	card~~~LptD~~~CP007727.1:809555-807206~~~aminocoumarin;carbapenem;peptide;rifamycin	100.0	2349	0	0	524803	527151	1	2349	0.0	4338	5306069	2349	card~~~LptD~~~CP007727.1:809555-807206~~~aminocoumarin;carbapenem;peptide;rifamycin LptD is involved in LPS transport in a ABC Transporter efflux system. It confers resistance to rifamycin, aminocoumarin, and peptide antibiotics.	100.0	card
contig_3	card~~~eptB~~~FO203501.1:5123640-5125365~~~peptide	99.652	1725	6	0	1586494	1588218	1	1725	0.0	3153	5306069	1725	card~~~eptB~~~FO203501.1:5123640-5125365~~~peptide eptB is a phosphoethanolamine transferase. It confers resistance to peptide antibiotics.	100.0	card
contig_3	card~~~ArnT~~~FO834906.1:304977-306633~~~peptide	99.819	1656	3	0	1668201	1669856	1	1656	0.0	3042	5306069	1656	card~~~ArnT~~~FO834906.1:304977-306633~~~peptide ArnT is involved in Cell Wall Biosynthesis, specifically 4-amino-4-deoxy-L-arabinose (Ara4N). It confers resistance to peptide antibiotics.	100.0	card
contig_3	card~~~MdtQ~~~CP133868.1:5053037-5051597~~~carbapenem;cephalosporin;monobactam;penicillin_beta-lactam	99.375	1440	9	0	3085876	3087315	1	1440	0.0	2610	5306069	1440	card~~~MdtQ~~~CP133868.1:5053037-5051597~~~carbapenem;cephalosporin;monobactam;penicillin_beta-lactam MdtQ is a putative multidrug resistance outer membrane protein found in carbapenem-resistant Klebsiella pneumoniae.	100.0	card
contig_3	card~~~oqxA~~~EU370913.1:46651-47827~~~diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline	100.0	1176	0	0	2600975	2602150	1176	1	0.0	2172	5306069	1176	card~~~oqxA~~~EU370913.1:46651-47827~~~diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline RND efflux pump conferring resistance to fluoroquinolone.	100.0	card
contig_3	card~~~Klebsiella_pneumoniae_KpnG~~~ACWO01000051.1:22092-23265~~~aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penicillin_beta-lactam;peptide	99.488	1173	6	0	2551701	2552873	1173	1	0.0	2134	5306069	1173	card~~~Klebsiella_pneumoniae_KpnG~~~ACWO01000051.1:22092-23265~~~aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penicillin_beta-lactam;peptide KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin, ceftazidime, ciprofloxacin, ertapenem, erythromycin, gentamicin, imipenem, ticarcillin, norfloxacin, polymyxin-B, piperacillin, spectinomycin, tobramycin, and streptomycin.	100.0	card
contig_3	card~~~OmpA~~~FO834906.1:2175099-2173974~~~peptide	99.822	1125	2	0	4754343	4755467	1	1125	0.0	2067	5306069	1125	card~~~OmpA~~~FO834906.1:2175099-2173974~~~peptide OmpA is a porin that confers resistance to beta-lactam antibiotics.	100.0	card
contig_3	card~~~Klebsiella_pneumoniae_acrA~~~AJ318073.1:793-1990~~~cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline	97.744	1197	24	2	88180	89373	1	1197	0.0	2058	5306069	1197	card~~~Klebsiella_pneumoniae_acrA~~~AJ318073.1:793-1990~~~cephalosporin;disinfecting_agents_and_antiseptics;fluoroquinolone;glycylcycline;penicillin_beta-lactam;phenicol;rifamycin;tetracycline AcrA is a subunit of the AcrAB multidrug efflux system that is found in K. pneumoniae, which is encoded by the acrRAB operon.	100.0	card
contig_3	card~~~Klebsiella_pneumoniae_OmpK37~~~AJ011502.1:300-1425~~~carbapenem;cephalosporin;monobactam;penicillin_beta-lactam	95.498	1155	22	14	4314517	4315671	1	1125	0.0	1818	5306069	1125	card~~~Klebsiella_pneumoniae_OmpK37~~~AJ011502.1:300-1425~~~carbapenem;cephalosporin;monobactam;penicillin_beta-lactam Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36, which did not allow penetration by certain beta-lactams. Also, when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	102.66666666666667	card
contig_3	card~~~SHV-182~~~KP050489.1:0-861~~~cephalosporin;penicillin_beta-lactam	99.884	861	1	0	4148681	4149541	1	861	0.0	1585	5306069	861	card~~~SHV-182~~~KP050489.1:0-861~~~cephalosporin;penicillin_beta-lactam SHV-182 is a beta-lactamase. Name originally from the historical Lahey list of beta-lactamases, some of which did not include sequence data.	100.0	card
contig_3	card~~~SHV-159~~~JX121126.1:0-858~~~cephalosporin;penicillin_beta-lactam	99.883	858	1	0	4148681	4149538	1	858	0.0	1580	5306069	858	card~~~SHV-159~~~JX121126.1:0-858~~~cephalosporin;penicillin_beta-lactam SHV-159 is a beta-lactamase.	100.0	card
contig_3	card~~~SHV-158~~~JX121125.1:0-858~~~cephalosporin;penicillin_beta-lactam	99.883	858	1	0	4148681	4149538	1	858	0.0	1580	5306069	858	card~~~SHV-158~~~JX121125.1:0-858~~~cephalosporin;penicillin_beta-lactam SHV-158 is a beta-lactamase.	100.0	card
contig_3	card~~~SHV-11~~~X98101.1:73-934~~~cephalosporin;penicillin_beta-lactam	99.768	861	2	0	4148681	4149541	1	861	0.0	1580	5306069	861	card~~~SHV-11~~~X98101.1:73-934~~~cephalosporin;penicillin_beta-lactam SHV-11 is a broad-spectrum beta-lactamase found in E. coli, Klebsiella pneumoniae, Proteus mirabilis, and Shigella dysenteriae.	100.0	card
contig_3	card~~~SHV-155~~~JX121122.1:0-858~~~cephalosporin;penicillin_beta-lactam	99.883	856	1	0	4148681	4149536	1	856	0.0	1576	5306069	858	card~~~SHV-155~~~JX121122.1:0-858~~~cephalosporin;penicillin_beta-lactam SHV-155 is a beta-lactamase.	99.76689976689977	card
contig_3	card~~~SHV-156~~~JX121123.1:0-861~~~cephalosporin;penicillin_beta-lactam	99.652	861	3	0	4148681	4149541	1	861	0.0	1574	5306069	861	card~~~SHV-156~~~JX121123.1:0-861~~~cephalosporin;penicillin_beta-lactam SHV-156 is a beta-lactamase.	100.0	card
contig_3	card~~~SHV-75~~~AM176550.2:30-891~~~cephalosporin;penicillin_beta-lactam	99.535	861	4	0	4148681	4149541	1	861	0.0	1568	5306069	861	card~~~SHV-75~~~AM176550.2:30-891~~~cephalosporin;penicillin_beta-lactam SHV-75 is a broad-spectrum beta-lactamase that is found in clinical isolates.	100.0	card
contig_3	card~~~SHV-74~~~AM176549.2:30-891~~~cephalosporin;penicillin_beta-lactam	99.535	861	4	0	4148681	4149541	1	861	0.0	1568	5306069	861	card~~~SHV-74~~~AM176549.2:30-891~~~cephalosporin;penicillin_beta-lactam SHV-74 is a broad-spectrum beta-lactamase found in Klebsiella pneumoniae.	100.0	card
contig_3	card~~~SHV-70~~~DQ013287.1:0-861~~~cephalosporin;penicillin_beta-lactam	99.535	861	4	0	4148681	4149541	1	861	0.0	1568	5306069	861	card~~~SHV-70~~~DQ013287.1:0-861~~~cephalosporin;penicillin_beta-lactam SHV-70 is an extended-spectrum beta-lactamase found in Enterobacter cloacae.	100.0	card
contig_3	card~~~SHV-69~~~DQ174308.1:4-865~~~cephalosporin;penicillin_beta-lactam	99.535	861	4	0	4148681	4149541	1	861	0.0	1568	5306069	861	card~~~SHV-69~~~DQ174308.1:4-865~~~cephalosporin;penicillin_beta-lactam SHV-69 is a beta-lactamase found in Klebsiella pneumoniae.	100.0	card
contig_3	card~~~SHV-67~~~DQ174307.1:4-865~~~cephalosporin;penicillin_beta-lactam	99.535	861	4	0	4148681	4149541	1	861	0.0	1568	5306069	861	card~~~SHV-67~~~DQ174307.1:4-865~~~cephalosporin;penicillin_beta-lactam SHV-67 is a beta-lactamase found in Klebsiella pneumoniae.	100.0	card
contig_3	card~~~SHV-31~~~AY277255.2:66-927~~~cephalosporin;penicillin_beta-lactam	99.535	861	4	0	4148681	4149541	1	861	0.0	1568	5306069	861	card~~~SHV-31~~~AY277255.2:66-927~~~cephalosporin;penicillin_beta-lactam SHV-31 is an extended-spectrum beta-lactamase found in Klebsiella pneumoniae.	100.0	card
